,host_id,num_host_listings
731,4583552,3
732,4587045,1
733,4599607,3
734,4602470,1
735,4611223,1
736,4611479,2
737,4618349,1
738,4620768,1
739,4622382,1
740,4622978,1
741,4623954,1
742,4624470,7
743,4624579,3
744,4647776,1
745,4656819,2
746,4662097,1
747,4665550,1
748,4671398,1
749,4679039,2
750,4681629,1
751,4710337,1
752,4719949,2
753,4739808,1
754,4746567,1
755,4753539,1
756,4767136,1
757,4784888,1
758,4790645,1
759,4793066,1
760,4838043,4
761,4877120,2
762,4897640,1
763,4909227,1
764,4911735,2
765,4921247,1
766,4925259,1
767,4932682,10
768,4934081,1
769,4938232,1
770,4965048,16
771,4967189,1
772,4967433,4
773,4978364,1
774,4981356,1
775,4994029,2
776,4998107,5
777,5003596,2
778,5016810,1
779,5034621,1
780,5036642,1
781,5039751,3
782,5042070,1
783,5042700,5
784,5042913,1
785,5089409,1
786,5098361,1
787,5099982,1
788,5100927,2
789,5125551,1
790,5139252,1
791,5175727,1
792,5180479,1
793,5213108,1
794,5256548,6
795,5260634,2
796,5284499,2
797,5292318,2
798,5303924,2
799,5308092,1
800,5325968,1
801,5351935,1
802,5352187,2
803,5355764,1
804,5364338,1
805,5382245,2
806,5383370,3
807,5387195,1
808,5387574,1
809,5390087,1
810,5402225,7
811,5402610,1
812,5407607,9
813,5430819,2
814,5434885,2
815,5440730,1
816,5448114,5
817,5506046,1
818,5510027,7
819,5533596,1
820,5590398,1
821,5612605,14
822,5615582,234
823,5620291,1
824,5654668,15
825,5659421,1
826,5660123,1
827,5684546,1
828,5698002,1
829,5703317,1
830,5704858,1
831,5709367,1
832,5717245,1
833,5738238,4
834,5738969,1
835,5759352,2
836,5763024,1
837,5786717,87
838,5791224,1
839,5792080,2
840,5792599,1
841,5815616,1
842,5822580,1
843,5835035,1
844,5847184,1
845,5847873,1
846,5856233,5
847,5856820,1
848,5865719,2
849,5872316,1
850,5884464,2
851,5911769,1
852,5911949,1
853,5912645,1
854,5938196,3
855,5953764,1
856,5961013,2
857,5973876,1
858,5983064,1
859,6004274,1
860,6006287,1
861,6016884,1
862,6017048,2
863,6025119,1
864,6034558,2
865,6034640,1
866,6053644,1
867,6056846,5
868,6065328,1
869,6067214,1
870,6077925,2
871,6085621,2
872,6095028,1
873,6097057,1
874,6112853,2
875,6132660,1
876,6137679,2
877,6144120,1
878,6146432,3
879,6172693,1
880,6182035,3
881,6182142,1
882,6184438,1
883,6194110,1
884,6197275,1
885,6200985,1
886,6201557,1
887,6210768,1
888,6213084,1
889,6215926,1
890,6224540,1
891,6226197,1
892,6230425,1
893,6243290,1
894,6246200,2
895,6254999,6
896,6255756,1
897,6259862,1
898,6262158,2
899,6264415,1
900,6295399,3
901,6296618,1
902,6321773,1
903,6340711,1
904,6354171,1
905,6357965,1
906,6360121,1
907,6360388,1
908,6369313,1
909,6373034,1
910,6377143,4
911,6379664,1
912,6388933,11
913,6391146,1
914,6406878,1
915,6412996,1
916,6430460,1
917,6431986,1
918,6433638,1
919,6441466,1
920,6448393,1
921,6454428,1
922,6469341,1
923,6469356,2
924,6474566,1
925,6484751,1
926,6504530,3
927,6510480,1
928,6521227,21
929,6524762,4
930,6551239,1
931,6562760,1
932,6572607,2
933,6572749,1
934,6577215,1
935,6590093,1
936,6599926,1
937,6642512,1
938,6670481,1
939,6685693,1
940,6687171,3
941,6726453,1
942,6738118,1
943,6741099,1
944,6745669,3
945,6760782,2
946,6763234,2
947,6780420,1
948,6781594,3
949,6782149,7
950,6805038,1
951,6827732,1
952,6834281,1
953,6843838,1
954,6849268,3
955,6867554,2
956,6878600,1
957,6883218,1
958,6886055,1
959,6916294,2
960,6921386,1
961,6932274,1
962,6932428,6
963,6949721,1
964,6952089,2
965,6970403,2
966,6991902,3
967,6992785,1
968,7013089,1
969,7039403,7
970,7042465,1
971,7045013,1
972,7053008,1
973,7054805,3
974,7072201,1
975,7091483,1
976,7115828,1
977,7117008,9
978,7117556,2
979,7118418,1
980,7122284,2
981,7159927,1
982,7160641,1
983,7175139,1
984,7181802,3
985,7188859,1
986,7197530,4
987,7206315,1
988,7226369,9
989,7269721,4
990,7291647,1
991,7303552,2
992,7307596,3
993,7308528,1
994,7312534,4
995,7321007,1
996,7321366,1
997,7354188,1
998,7354946,1
999,7361147,2
1000,7364591,1
1001,7364855,1
1002,7366278,1
1003,7367658,2
1004,7367777,1
1005,7382730,1
1006,7387157,17
1007,7389185,2
1008,7389965,1
1009,7390401,1
1010,7401758,1
1011,7410462,1
1012,7412592,2
1013,7428005,1
1014,7429514,1
1015,7433098,1
1016,7434950,1
1017,7445745,1
1018,7463962,1
1019,7464003,1
1020,7486231,1
1021,7527303,3
1022,7533168,2
1023,7535733,1
1024,7536510,1
1025,7536867,1
1026,7547915,1
1027,7553028,2
1028,7553291,1
1029,7558126,6
1030,7578327,1
1031,7582912,1
1032,7599395,2
1033,7615851,1
1034,7624796,1
1035,7629356,1
1036,7636516,1
1037,7644958,1
1038,7649933,1
1039,7657735,1
1040,7658012,3
1041,7673837,2
1042,7683071,1
1043,7707944,1
1044,7708496,1
1045,7719195,1
1046,7720002,1
1047,7745486,1
1048,7754728,1
1049,7785405,2
1050,7787175,1
1051,7803155,1
1052,7809756,1
1053,7852521,1
1054,7859222,16
1055,7877427,1
1056,7885887,1
1057,7918935,1
1058,7922996,9
1059,7933497,1
1060,7941935,1
1061,7942299,1
1062,7943165,1
1063,7959723,2
1064,7964009,1
1065,8005545,1
1066,8026672,2
1067,8030489,1
1068,8031844,1
1069,8033870,15
1070,8050600,1
1071,8055475,6
1072,8070042,1
1073,8070767,1
1074,8073532,2
1075,8074030,2
1076,8117816,1
1077,8119064,1
1078,8123198,1
1079,8165919,1
1080,8167842,1
1081,8241688,1
1082,8244365,1
1083,8254874,1
1084,8262226,2
1085,8264581,1
1086,8264655,1
1087,8284194,1
1088,8286155,1
1089,8312464,1
1090,8337067,1
1091,8337455,1
1092,8346382,2
1093,8354387,1
1094,8366077,1
1095,8367419,2
1096,8374973,2
1097,8375809,1
1098,8390288,2
1099,8391929,1
1100,8393490,1
1101,8394235,2
1102,8411916,1
1103,8443062,1
1104,8478464,1
1105,8491251,1
1106,8502584,2
1107,8504891,1
1108,8518525,2
1109,8530441,1
1110,8536565,4
1111,8553877,1
1112,8559332,1
1113,8591101,7
1114,8593987,1
1115,8598221,1
1116,8599534,2
1117,8599847,2
1118,8617451,1
1119,8634593,1
1120,8680034,2
1121,8702628,2
1122,8710556,1
1123,8717514,1
1124,8733346,5
1125,8735628,2
1126,8739378,1
1127,8753372,2
1128,8761260,4
1129,8761592,1
1130,8764934,13
1131,8823094,2
1132,8826862,1
1133,8848567,1
1134,8878219,3
1135,8880370,2
1136,8923776,1
1137,8926031,1
1138,8927098,1
1139,8942366,1
1140,8943783,1
1141,8945350,1
1142,8974748,1
1143,8977233,1
1144,8979214,2
1145,8992436,1
1146,8998572,1
1147,8999588,1
1148,9045854,2
1149,9060116,1
1150,9060715,1
1151,9069642,1
1152,9074452,2
1153,9077143,1
1154,9081483,2
1155,9108446,2
1156,9110746,2
1157,9130245,1
1158,9134033,1
1159,9143683,1
1160,9155098,2
1161,9165648,1
1162,9193586,5
1163,9208750,1
1164,9213806,2
1165,9214933,1
1166,9245365,1
1167,9246141,1
1168,9269498,1
1169,9270649,3
1170,9273884,1
1171,9285268,1
1172,9291414,1
1173,9293774,2
1174,9306636,1
1175,9335189,1
1176,9340585,1
1177,9357495,1
1178,9361898,5
1179,9375350,2
1180,9392285,2
1181,9392817,1
1182,9408793,1
1183,9411011,1
1184,9431246,20
1185,9447062,1
1186,9450178,1
1187,9454338,1
1188,9458290,3
1189,9466106,1
1190,9468286,1
1191,9470917,1
1192,9476356,2
1193,9536745,1
1194,9556892,1
1195,9559816,1
1196,9579305,1
1197,9585567,3
1198,9585864,1
1199,9597221,1
1200,9602448,1
1201,9606871,1
1202,9624867,2
1203,9635363,4
1204,9638641,1
1205,9652552,1
1206,9668127,1
1207,9669247,2
1208,9672055,3
1209,9692531,4
1210,9702553,1
1211,9703178,1
1212,9708203,2
1213,9720723,1
1214,9726422,2
1215,9727322,1
1216,9770228,2
1217,9774304,2
1218,9797360,1
1219,9797535,1
1220,9806059,1
1221,9812005,1
1222,9838362,1
1223,9842683,1
1224,9845255,2
1225,9869020,3
1226,9909228,1
1227,9933072,1
1228,9995575,1
1229,9996687,1
1230,10000414,3
1231,10001899,5
1232,10004141,2
1233,10010830,1
1234,10016473,1
1235,10019272,1
1236,10023347,2
1237,10061752,1
1238,10074001,1
1239,10078948,2
1240,10105994,1
1241,10128150,11
1242,10132741,1
1243,10138944,2
1244,10158518,4
1245,10176965,1
1246,10184521,1
1247,10208861,2
1248,10253903,1
1249,10257844,1
1250,10258646,1
1251,10279076,1
1252,10306818,3
1253,10308533,3
1254,10354507,1
1255,10363580,3
1256,10375337,1
1257,10386035,18
1258,10395742,1
1259,10405395,2
1260,10407332,2
1261,10409077,1
1262,10413701,2
1263,10416033,2
1264,10418326,1
1265,10433471,1
1266,10450179,1
1267,10452839,1
1268,10456400,1
1269,10456964,1
1270,10461420,1
1271,10474728,1
1272,10477935,2
1273,10490368,1
1274,10509193,1
1275,10529899,1
1276,10537849,2
1277,10538825,1
1278,10548519,78
1279,10554548,2
1280,10560250,1
1281,10606942,4
1282,10641606,1
